Job Title,company_name,location,hiring_status,date,seniority_level,old description,employment_type,industry,cleaned_description,Job Description
We need Content Writers,Mukul Consultants India  Ltd,"Bengaluru, Karnataka, India",Be an early applicant,2023-04-18,Entry level,marketing public relations and writing editing,Full-time,Staffing and Recruiting,market public relation write editing,"['public relation specialist', 'security incident response team sirt incident recovery recovery public relation', 'security incident response team sirt incident public relation', 'public relation manager', 'security incident response team sirt incident recovery public relation']"
Product Owner Identity Risk Solutions ,"
            Texas Capital Bank
          ","
            Dallas, TX
          ","
         Be an early applicant
      ",2023-03-15,"
            Director
          ",product management and marketing ,"
          Full-time
        ","
          Banking
          ",product management marketing,"['marketing budget management', 'product pricing analysis', 'product manager', 'ai e commerce product recommendation', 'email marketing platform']"
Executive Assistant ,"
            Merilytics
          ","
            Hyderabad, Telangana, India
          ","
         Actively Hiring
      ",2023-02-17,"
            Mid-Senior level
          ",consulting information technology and project management ,"
          Full-time
        ","
          Business Consulting and Services
          ",consult information technology project management,"['stakeholder management big datum project', 'big datum project management', 'project management', 'project management tool', 'project management']"
Full Stack Laravel Developer,Toolyt,"Bengaluru, Karnataka, India",Be an early applicant,2023-01-08,Entry level,engineering and information technology,Full-time,IT Services and IT Consulting,engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Software Tester ,"
            Expertrons
          ","
            Mumbai, Maharashtra, India
          ","
         Actively Hiring
      ",2023-01-23,"
            Associate
          ",engineering and information technology ,"
          Full-time
        ","
          IT Services and IT Consulting
          ",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Software Engineer ,"
            Siveals
          ","
            Hyderabad, Telangana, India
          ","
         Be an early applicant
      ",2023-02-13,"
            Entry level
          ",engineering and information technology ,"
          Full-time
        ","
          Staffing and Recruiting
          ",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Senior Software Engineer Data Safety ,"
            Cash App
          ","
            Melbourne, Victoria, Australia
          ","
         Be an early applicant
      ",2023-03-20,"
            Entry level
          ",engineering and information technology ,"
          Full-time
        ","
          Government Administration
          ",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Interesting Job Opportunity Full Stack Developer React js Node js,Justdial,"Bengaluru, Karnataka, India",Actively Hiring,2023-04-06,Entry level,engineering and information technology,Full-time,"Software Development, Technology, Information and Internet, and Technology, Information and Media",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Product Manager,KodyPay,"London, England, United Kingdom",Actively Hiring,2023-03-28,Mid-Senior level,product management,Full-time,"Technology, Information and Internet",product management,"['product pricing analysis', 'product manager', 'ai e commerce product recommendation', 'database management system sql', 'federate identity management']"
Personal Assistant To Chief Executive Officer ,"
            BrandOpus
          ","
            London, England, United Kingdom
          ","
         Actively Hiring
      ",2023-03-01,"
            Associate
          ",administrative ,"
          Full-time
        ","
          Technology, Information and Internet
          ",administrative,[]
Senior Data Scientist,Recruiting from Scratch,"San Rafael, CA",Be an early applicant,2023-01-17,Mid-Senior level,engineering and information technology,Full-time,Staffing and Recruiting,engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Project Manager ,"
            CODAMETRIX
          ","
            Boston, MA
          ",Be an early applicant,2023-02-17,"
            Mid-Senior level
          ",project management ,"
          Full-time
        ","
          Renewable Energy Semiconductor Manufacturing and Utilities
          ",project management,"['stakeholder management big datum project', 'project management tool', 'big datum project management', 'project management', 'project management']"
FT Virtual Assistant Work From Home ,Growth Cave,"Avon, IN",Be an early applicant,2023-04-08,Entry level,administrative,Full-time,Advertising Services,administrative,[]
Software Engineer Scientific Applications,DUG,"Perth, Western Australia, Australia",Be an early applicant,2023-04-03,Entry level,engineering and information technology,Contract,Staffing and Recruiting,engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Data Scientist ,"
            CRMNEXT
          ","
            Mumbai, Maharashtra, India
          ","
         Be an early applicant
      ",2023-01-23,"
            Not Applicable
          ",engineering and information technology ,"
          Full-time
        ","
          Software Development, Technology, Information and Internet, and Financial Services
          ",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Java full stack Developer Senior Java full stack Developer,JobCourier,"Zurich, Zurich, Switzerland",Be an early applicant,2023-04-02,Mid-Senior level,information technology and engineering,Full-time,IT Services and IT Consulting,information technology engineering,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Full Stack Developer,Saransh Inc,"Wilmington, DE",Actively Hiring,2023-02-21,Mid-Senior level,engineering,Full-time,"Technology, Information and Internet",engineering,"['microwave engineering', 'social engineering testing', 'malware analysis reverse engineering', 'civil engineering technician', 'feature engineering']"
Applications Engineer,ANCA CNC Machines,"Bayswater, Victoria, Australia",Actively Hiring,2023-04-28,Not Applicable,information technology,Full-time,IT Services and IT Consulting,information technology,"['itil information technology infrastructure library', 'security information sharing standard stix taxii', 'information exchange', 'security information share framework', 'security information share platform']"
Embedded Engineer,Insight Global,"Austin, Texas Metropolitan Area",Actively Hiring,2023-03-23,Mid-Senior level,engineering,Contract,Telecommunications,engineering,"['microwave engineering', 'social engineering testing', 'malware analysis reverse engineering', 'civil engineering technician', 'feature engineering']"
DevOps Engineer ,"
            DataWeave
          ","
            Bengaluru, Karnataka, India
          ","
         Actively Hiring
      ",2023-03-21,"
            Mid-Senior level
          ",engineering and information technology ,"
          Full-time
        ","
          Software Development
          ",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Communications Content Manager,Morgan McKinley,"Sydney, New South Wales, Australia",Actively Hiring,2023-04-16,Mid-Senior level,information technology,Full-time,IT Services and IT Consulting,information technology,"['itil information technology infrastructure library', 'security information sharing standard stix taxii', 'information exchange', 'security information share framework', 'security information share platform']"
Software Developer ,"
            Ciena
          ","
            Kurla, Maharashtra, India
          ","
         Actively Hiring
      ",2023-03-13,"
            Associate
          ",engineering and information technology ,"
          Full-time
        ","
          IT Services and IT Consulting, Software Development, and Technology, Information and Internet
          ",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Azure cloud engineer Deepanshi TTP ,"
            CodersBrain
          ","
            Bengaluru, Karnataka, India
          ","
         Be an early applicant
      ",2023-03-24,"
            Mid-Senior level
          ",engineering and information technology ,"
          Full-time
        ","
          IT Services and IT Consulting
          ",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Regional Sales Manager ,"
            Synergyze Financial
          ","
            Allen County, IN
          ","
         Actively Hiring
      ",2023-02-23,"
            Not Applicable
          ",finance and sales ,"
          Full-time
        ","
          Insurance
          ",finance sale,"['big datum finance', 'sentiment analysis finance', 'decentralize finance defi', 'sale analysis', 'sale forecasting']"
Content Writer,CBW Staffing Solutions,"Glasgow, Scotland, United Kingdom",Be an early applicant,2023-02-05,Mid-Senior level,marketing public relations and writing editing,Full-time,"Technology, Information and Internet",market public relation write editing,"['public relation specialist', 'security incident response team sirt incident recovery recovery public relation', 'security incident response team sirt incident public relation', 'public relation manager', 'security incident response team sirt incident recovery public relation']"
Cloud Engineer ,"
            Supersourcing
          ","
            India
          ","
         Actively Hiring
      ",2023-03-24,"
            Mid-Senior level
          ",information technology ,"
          Contract
        ","
          Software Development
          ",information technology,"['itil information technology infrastructure library', 'security information sharing standard stix taxii', 'information exchange', 'security information share framework', 'security information share platform']"
Senior Research Associate Assistant Breeder,Corteva Agriscience,"Windfall, IN",Be an early applicant,2023-04-03,Not Applicable,science,Full-time,Farming,science,"['ethical consideration datum science', 'datum science blog publication', 'big datum environmental science', 'datum science apis', 'datum science edge computing']"
Software Engineer Backend India ,"
            Evertz
          ","
            Bengaluru, Karnataka, India
          ","
         Be an early applicant
      ",2023-02-11,"
            Entry level
          ",engineering and information technology ,"
          Full-time
        ","
          Banking, Financial Services, and Accounting
          ",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Executive Assistant To Chief Executive Officer ,"
            Jonathan Sanders & Co
          ","
            Soho, England, United Kingdom
          ","
         Be an early applicant
      ",2023-03-12,"
            Mid-Senior level
          ",administrative ,"
          Full-time
        ","
          Staffing and Recruiting
          ",administrative,[]
DevOps Developer,IBM,"Bengaluru East, Karnataka, India",Actively Hiring,2023-04-09,Not Applicable,information technology,Full-time,Computer Hardware Manufacturing,information technology,"['itil information technology infrastructure library', 'security information sharing standard stix taxii', 'information exchange', 'security information share framework', 'security information share platform']"
Senior Data Scientist,Recruiting from Scratch,"El Cerrito, CA",Be an early applicant,2023-02-28,Mid-Senior level,engineering and information technology,Full-time,Staffing and Recruiting,engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Executive Assistant to CEO ,"
            Holiferm
          ","
            Manchester, England, United Kingdom
          ","
         Be an early applicant
      ",2023-03-03,"
            Mid-Senior level
          ",administrative ,"
          Full-time
        ","
          Medical Practices
          ",administrative,[]
Senior Executive Customer Experience Analyst,NielsenIQ,"Pune, Maharashtra, India",Actively Hiring,2023-03-25,Mid-Senior level,administrative,Full-time,Market Research,administrative,[]
Site Reliability Engineer,IBM,"Bengaluru East, Karnataka, India",Be an early applicant,2023-04-04,Not Applicable,information technology,Full-time,Computer Hardware Manufacturing,information technology,"['itil information technology infrastructure library', 'security information sharing standard stix taxii', 'information exchange', 'security information share framework', 'security information share platform']"
 ,"
            NebulaMatrix Technology Limited
          ","
            Shenzhen, Guangdong, China
          ","
         Be an early applicant
      ",2023-02-13,"
            Not Applicable
          ",information technology writing editing and other ,"
        
          Employment type
        
        
          Part-time
        
      ","
          IT Services and IT Consulting, Online Audio and Video Media, and Translation and Localization
          ",information technology write editing,"['audio editing', 'video editing', 'write simple vba code automation', 'report write', 'write communication']"
Software Development Engineer I II III,Trential,"Bengaluru, Karnataka, India",Be an early applicant,2023-02-13,Entry level,engineering and information technology,Full-time,"IT Services and IT Consulting, Software Development, and Technology, Information and Internet",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
General Manager UK,Headout,"London, England, United Kingdom",Be an early applicant,2023-04-17,Executive,business development and sales,Full-time,Public Relations and Communications Services,business development sale,"['mobile app development android', 'organizational development consultant', 'testing test drive development tdd', 'security incident playbook development', 'security incident workflow development']"
Civil Engineer ,"
            Meinhardt Australia & New Zealand
          ","
            Brisbane, Queensland, Australia
          ","
         Actively Hiring
      ",2023-03-24,"
            Mid-Senior level
          ",engineering consulting and design ,"
          Full-time
        ","
          Construction, Civil Engineering, and Design Services
          ",engineering consulting design,"['big datum consulting advisory', 'datum science consulting', 'logo design', 'graphic design', 'voice user interface vui design']"
Software Developer ,"
            Terralogic
          ","
            Bengaluru, Karnataka, India
          ","
         Actively Hiring
      ",2023-02-13,"
            Entry level
          ",engineering and information technology ,"
          Full-time
        ","
          Staffing and Recruiting
          ",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
JUNIOR DATA SCIENTIST Dubai UAE,Cobblestone Energy,"Brisbane, Queensland, Australia",Be an early applicant,2023-04-24,Mid-Senior level,engineering and information technology,Part-time,Internet Publishing,engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Apparel Graphic Designer Illustrator,Viralstyle,"Tampa, FL",Be an early applicant,2023-04-03,Associate,consulting art creative and design,Contract,Advertising Services,consult art creative design,"['creative director', 'art director', 'art curator', 'art therapist', 'data schema design']"
Copywriter,INFUSEmedia,"Bucharest, Bucharest, Romania",Actively Hiring,2023-04-25,Entry level,marketing public relations and writing editing,Full-time,"Technology, Information and Internet",market public relation write editing,"['public relation specialist', 'security incident response team sirt incident recovery recovery public relation', 'security incident response team sirt incident public relation', 'public relation manager', 'security incident response team sirt incident recovery public relation']"
Content Writer,Vegam Solutions,"Bengaluru North, Karnataka, India",Be an early applicant,2023-02-23,Mid-Senior level,marketing public relations and writing editing,Full-time,Information Technology & Services,market public relation write editing,"['public relation specialist', 'security incident response team sirt incident recovery recovery public relation', 'security incident response team sirt incident public relation', 'public relation manager', 'security incident response team sirt incident recovery public relation']"
Content Writer ,"
            eGov Foundation
          ","
            Bengaluru, Karnataka, India
          ",Be an early applicant,2023-02-16,"
            Associate
          ",public relations writing editing and marketing ,"
          Full-time
        ","
          Software Development and Non-profit Organizations
          ",public relation write editing marketing,"['security incident response team sirt incident recovery public relation', 'public relation manager', 'security incident response team sirt incident recovery recovery public relation', 'public relation specialist', 'public relation pr']"
FT Virtual Assistant Work From Home ,Growth Cave,"Lafayette, IN",Be an early applicant,2023-04-08,Entry level,administrative,Full-time,Advertising Services,administrative,[]
Copywriter Remote ,INFUSEmedia,"Madrid, Community of Madrid, Spain",Be an early applicant,2023-02-25,Entry level,marketing public relations and writing editing,Full-time,"Technology, Information and Internet",market public relation write editing,"['public relation specialist', 'security incident response team sirt incident recovery recovery public relation', 'security incident response team sirt incident public relation', 'public relation manager', 'security incident response team sirt incident recovery public relation']"
