Job Title,old description,cleaned_description,Job Description
 Workflow Coordinator,"operations,workflow,tat,monitoring,mts,email",operation workflow tat monitoring mts email,"['workflow automation', 'datum analysis workflow', 'marketing automation workflow', 'security operation center soc workflow', 'workflow optimization']"
Oracle IDAM,"oracle idam,oim,oam",oracle idam oim oam,['oracle']
 Looking Facebook /social Media Manager For our Digital Marketing Ageny,"digital marketing,seo,social media marketing,content marketing,email marketing,sem,google analytics,campaign management,facebook,media management",digital marketing seo social medium marketing content marketing email marketing sem google analytic campaign management facebook medium management,"['social medium influencer marketing', 'emotional marketing', 'storytelle marketing', 'podcast marketing', 'influencer marketing']"
 Wanted Engineering Fresher For MNC Chennai,"instrumentation engineering,electrical engineering,engineering,fresher,trainee,immediate,mechanical engineering,electronics engineering,undergraduate",instrumentation engineering electrical engineering engineering fresher trainee immediate mechanical engineering electronics engineering undergraduate,"['datum engineering', 'network traffic engineering', 'social engineering testing', 'social engineering awareness', 'reverse engineering']"
 Tooling &amp; Sampling,"help desk,customer service,customer relationship,access controls,asset management,vendor management",help desk customer service customer relationship access control asset management vendor management,"['asset management', 'customer relationship management crm', 'relationship management', 'big datum access control management', 'secure network access control']"
 Account Manager,"report generation,policies,analytical,procedures,analysts,data entry,analytical skills",report generation policy analytical procedure analyst datum entry analytical skill,"['datum report', 'network access policy procedure', 'datum compliance report', 'datum governance policy', 'datum governance policy big datum']"
 Magento Developer,"copyright,email,jquery,xml,javascript,cakephp,customer service,open source,facebook,css3",copyright email jquery xml javascript cakephp customer service open source facebook,"['hack facebook', 'facebook ad', 'consolidate datum multiple source', 'email marketing', 'javascript']"
 Looking For Trained Freshers in MS Dynamics CRM- Hyderabad,"c#,ms dynamics crm,microsoft dynamics,ms dynamics",dynamic crm microsoft dynamic ms dynamic,"['dynamic', 'dynamic name range', 'dynamic dashboard creation interactivity', 'offset indirect dynamic range reference']"
 Job Openings Kotak Life/ Max Life/ Aditya Birla Health for Sales Mgr,"sales manager,business development manager,relationship manager,brokers,insurance sales,channel sales,direct sale,direct marketing,sales,marketing executive,territory sales manager",sale manager business development manager relationship manager broker insurance sale channel sale direct sale direct marketing sale marketing executive territory sale manager,"['sale manager', 'manager', 'software development manager', 'project manager', 'product manager']"
 Business Development / Corporate Sales,"lead generation,business development,corporate sales",lead generation business development corporate sale,"['corporate attorney', 'marketing generation z', 'lead generation technique', 'corporate trainer', 'cryptocurrency development']"
 Business Development Manager (BDM),"contract management,closing,it services,relationship building,managed services,selling,market research,business development manager,sales",contract management close service relationship building manage service selling market research business development manager sale,"['relationship building', 'market research', 'market research analysis', 'market research tool', 'market research analyst']"
 QA Executive,qa executive,qa executive,"['executive reporting', 'executive assistant']"
 Back End Java Developer - Restful Services/soap,"java ee,jms,core java,junit,weblogic,html,jpa,json,soap,sql",java ee jms core java junit weblogic html jpa json soap sql,"['java', 'junit', 'soap', 'json', 'web service soap']"
 Product Engineer,"conceptualization,architecting,continuous improvement,side,development,front end,it",conceptualization architecte continuous improvement development end,"['datum analysis continuous improvement', 'continuous learning skill development', 'process improvement', 'continuous learning', 'security incident response team sirt continuous improvement']"
 Opening For Articulate tool Developer - Articulate / Captivate)chennai,articulate storyline,articulate storyline,[]
 Urgent Hiring for Area Sales Manager,"area sales management,retail sales,fmcg,chocolate,confectionary,asm,area sales manager,area business manager",area sale management retail sale fmcg chocolate confectionary asm area sale manager area business manager,"['sale manager', 'wide area network optimization', 'storage area network san', 'manager', 'retail sale associate']"
 Software Engineer - C++ Development - Ooad/oops,"c#,java,oop,c++,multithreading,uml,ooad,oops,.net,debugging",oop uml ooad debug,"['big datum troubleshooting debug', 'debug troubleshoot macro', 'object orient programming oop']"
 Linux Administrator Lead,"qmail,workflow,nagios,windows server,networking,mysql,monitoring,redhat,maintaining,centos",qmail workflow nagio window server networking mysql monitoring redhat maintain cento,"['window server', 'watch window']"
 Hiring for Tech Pm/scrum Master for Hyderabad Location,"java,jpa,hibernate,project management,jdbc,scrum master,microservices,agile,soap,rest",java jpa hibernate project management jdbc scrum master microservice agile soap rest,"['microservice', 'soap', 'scrum', 'agile methodology scrum', 'rest']"
 US Based Financial Company Looking For Java API Engineers For HYD,"java,java api,banking,j2ee,api,finance,core java,microservices",java java api banking api finance core java microservice,"['java', 'api management', 'graphql api development', 'api testing', 'secure api design management']"
 Strong Partner Ecosystem,"gis,iso 27001,hr,information system,process,iso 9001,information security management,gis software,management,edge",gis iso information system process iso security management gis software management edge,"['big datum geographical information system gis', 'iso', 'risk management framework iso', 'information security management', 'edge computing']"
 Senior Executive- Contract Logistics- Bom WP-A,"administration,administrative support,contract logistics,staff development,site management,quality improvement,warehousing,warehouse operations",administration administrative support contract logistic staff development site management quality improvement warehousing warehouse operation,"['datum warehousing', 'data quality improvement', 'datum warehousing tool', 'datum warehousing solution', 'data warehouse design']"
 Accounts Manager,"filing,tds,service industry,pf,esi,returns,coaching,payroll,invoice,tally",filing tds service industry pf esi return coaching payroll invoice tally,[]
 Technical Sales Executive with fixed pay & lucrative incentives/UK Inb,"outbound,antivirus,technical support,sales,spot,inbound calls,pay,medical,comp",outbound antivirus technical support sale spot inbound call pay medical comp,"['medical illustrator', 'support']"
 nutanix sme ,"troubleshooting,dns,dhcp,monitoring,virtualization,shell scripting,python,vms,open source,archiving",troubleshooting dns dhcp monitoring virtualization shell scripting python vms open source archive,"['shell scripting', 'datum archive', 'virtualization', 'z shell zsh', 'datum virtualization']"
 System Architect - 3g/4g Wireless Network Architecture & Migration,"4g,3gpp,3g,system architect,lte,radio access network,phd,ieee",system architect lte radio access network phd ieee,"['network access management', 'secure network access control', 'network access control nac implementation', 'network influencer', 'bayesian network']"
"Excellent Opportunity For ” Linux Device Driver ” ,for Hyderabad and Ban","arm processor,device drivers,embedded linux,linux kernel,ipc",arm processor device driver embed linux linux kernel ipc,"['linux', 'embed c', 'network device harden', 'embed system', 'mobile device security']"
 Java Developer,"jms,core java,sonar,weblogic,xml,j2ee,svn,spring,oracle 11g,sql",jms core java sonar weblogic xml svn spring oracle sql,"['svn', 'oracle', 'java']"
 Regional Representative,"market,presentation,strong analytical skills,english,presentation skills,developing,customer interaction",market presentation strong analytical skill english presentation skill develop customer interaction,"['presentation skill', 'datum presentation', 'public speaking presentation skill', 'datum presentation non technical audience', 'datum presentation technique']"
 Hiring For Record To Report,"fixed assets,accounts payable,record to report,general accounting,general ledger",fix asset account payable record report general accounting general ledger,"['asset management', 'medical record technician', 'electronic health record ehr', 'datum report']"
 Product & Regional Sales Manager,"team management,regional sales,management",team management regional sale management,"['influencer management', 'team network', 'red team blue team exercise', 'project management', 'project management']"
 Senior Manager/associate Director - Mandarin,"commercial activities,commercial sales,online sales,senior management,budgeting,strategy implementation,marketing,e - commerce",commercial activity commercial sale online sale senior management budgeting strategy implementation marketing e commerce,"['e commerce marketing strategy', 'commercial pilot', 'implementation', 'marketing strategy development', 'project budgeting']"
 ODI Developer/lead ODI Developer - RACI,"odi,matrix",odi matrix,[]
 UI Developer,"javascript,sql,php,php mysql,css,software development,technical,photoshop,mca,ajax,jquery,application,web,design,mysql,html",javascript sql php php mysql css software development technical photoshop mca ajax jquery application web design mysql html,"['php', 'mysql', 'web development html', 'secure software development', 'css preprocessor']"
 Assistant Manager ,"relationship management,relationship building,client relationship,training,analytical skills,process mapping,standard operating procedures,agile,management,visa processing",relationship management relationship building client relationship training analytical skill process mapping standard operating procedure agile management visa processing,"['relationship management', 'relationship building', 'customer relationship management crm', 'relationship maintenance', 'customer relationship tool']"
 Android Developer,"android,btech,iphone,server,analytical,developing,ios,platforms,objective c,web,xml,design,json,programming,development,c,testing,mobile,xcode,application development,eclipse,application,sdk,applications",android btech iphone server analytical develop io platform objective c web xml design json programming development c testing mobile xcode application development eclipse application sdk application,"['decentralize application dapps', 'web application security testing', 'mobile application security', 'experimentation platform', 'cross platform mobile app development']"
 International BPO / Non Voice Process / Rotational Shift / Ahmedabad,"cca,bpo,csr,international bpo,customer service,outbound process,customer care,tourism,customer support,fresher,voice process,inbound process,cse,bpo fresher,voice support,hotel,travel",cca bpo csr international bpo customer service outbound process customer care tourism customer support fresher voice process inbound process cse bpo fresher voice support hotel travel,"['customer support', 'process', 'customer persona development', 'support', 'customer support specialist']"
 iOS Developer,"bca,graphics,application development,b tech,core,b sc,application,b e,ios,publishing,animation",bca graphic application development b tech core b sc application b e io publishing animation,"['decentralize application dapps', 'io development', 'io', 'io', 'modeling animation']"
 F&A Black belt - Process Excellence Lead,"accounting,continuous improvement,process improvement,load balancing,lean six sigma,black belt,training,green belt,process re - engineering,process excellence,business excellence,otc",accounting continuous improvement process improvement load balancing lean sigma black belt training green belt process engineering process excellence business excellence otc,"['process improvement', 'datum analysis process improvement', 'load process', 'process', 'datum analysis continuous improvement']"
 IT - Head (preferably from an NGO),"networking,information technology,network administration,technical support,support services,license management,disaster recovery,data security,it training,it software",networking information technology network administration technical support support service license management disaster recovery datum security train software,"['network disaster recovery testing', 'disaster recovery', 'big datum disaster recovery', 'disaster recovery testing', 'disaster recovery planning']"
 Digital Content Producer For largest Media House,"automobile,digital content,content development,production,web content writing",automobile digital content content development production web content write,"['content marketing', 'datum analysis content strategy', 'content delivery network cdns', 'content security policy csp', 'content management system cms']"
 Manager Holidays,"tourism,target achievement,negotiation skills,revenue management,tour packages",tourism target achievement negotiation skill revenue management tour package,"['negotiation', 'personalization target marketing', 'adobe target']"
 Backend Developer,"php,networking,data structures,http,json,software design,computer science,system design,backend,ticketing",php networking datum structure http json software design computer science system design backend ticket,"['experiment design', 'datum structure', 'http', 'datum science podcast', 'json']"
 Chief Engineer,"chief engineer,hospitality,hvac,maintenance,water treatment,energy conservation,capital expenditure",chief engineer hospitality hvac maintenance water treatment energy conservation capital expenditure,"['ai wildlife conservation', 'ai wildlife monitoring conservation', 'chief financial officer', 'big datum energy consumption analysis', 'nuclear engineer']"
 Oracle DBA Consultant - Data Guard/rac Modules,"weblogic,configuration,mysql,installation,oracle dba,troubleshooting,oracle rac",weblogic configuration mysql installation oracle dba troubleshooting oracle rac,"['oracle', 'oracle erp', 'oracle cloud', 'mysql', 'security configuration management']"
 Global HR Operations Analyst,"service level,data management,hr coordinator,management audit,hr operations,human resource management",service level datum management hr coordinator management audit hr operation human resource management,"['human resource coordinator', 'human resource management', 'influencer management', 'human resource manager', 'datum lineage audit']"
 Compiler- Support Engineer,"graphics,c++,windows os,linux,high performance computing,test cases,system software,gaming,freebsd",graphic os linux high performance computing test case system software gaming freebsd,"['fog computing', 'serverless computing', 'cloud computing', 'big datum cognitive computing', 'serverless computing big datum']"
 Head Sales- Coworking Company,"sales,team building,strategic leadership,real estate,field sales,sales strategy,enterprise business,go - to - market strategy,enterprise sales,sales executive activities,marketing",sale team building strategic leadership real estate field sale sale strategy enterprise business market strategy enterprise sale sale executive activity marketing,"['marketing strategy development', 'sale manager', 'sale analysis', 'datum ingestion strategy', 'e commerce marketing strategy']"
" Clubhouse Manager, Facility Manager,","facility management,facility services",facility management facility service,[]
 IP DRG / Surgery / ED / Denials Coders,"sds,radiology,cpt,icd - 10,em,medical coding,coders,surgery,ed",sds radiology cpt icd medical coding coder surgery ed,"['medical coder', 'radiology technician', 'software define storage sds']"
 Sales Manager - Education Sales,"market analysis,public relations,cv,relationship building,market intelligence,prospecting,budgeting,sales process,branding",market analysis public relation cv relationship building market intelligence prospect budgeting sale process brand,"['market basket analysis', 'market millennial', 'public relation manager', 'market research analysis', 'market customer']"
 HR Associate,"erp,mis,succession planning,reports,talent management,human resources,hr policies,recruitment,talent acquisition",erp mis succession planning report talent management human resource hr policy recruitment talent acquisition,"['talent management', 'human resource management', 'human resource manager', 'resource planning', 'human resource coordinator']"
 Manager / Sr Manager - Digital Ad Sales - Ecommerce,"revenue generation,marketing,ad sales,web technologies",revenue generation marketing ad sale web technology,"['marketing generation z', 'facebook ad', 'online advertising google ad', 'web scrape', 'revenue projection']"
 Architect Junior/ Middle level,"co ordination,team management,drafting,loans,online,coordination,quality",co ordination team management drafting loan online coordination quality,['security incident response team sirt coordination']
 php developer,"english,php,xml,dom,soap,com,web technologies,written communication,email,time",english php xml dom soap com web technology write communication email time,"['write communication', 'web service soap', 'soap', 'time management', 'php']"
 Openstack Engineer / Openstack Admin with Ceph Storage,"cloud,puppet,python,git,kvm,linux,jenkins,openstack,ansible",cloud puppet python git kvm linux jenkin openstack ansible,"['puppet', 'puppet', 'ansible', 'ansible', 'jenkin']"
 Sr. Software Engineer,"national,branch,vice president,j2ee,software",national branch vice president software,[]
 Software Engineering- Mentor,"mentor,android,consulting,usage,development,software,mobile,it,side,front end,web technologies,coding,web,backend,open source,programming,investment",mentor android consulting usage development software mobile end web technology code web backend open source programming investment,"['web scrape', 'backend development', 'backend development', 'mobile app development android', 'android development']"
 Application Tester,"performance testing,software testing,manual testing,quality testing",performance testing software testing manual testing quality testing,"['hypothesis testing', 'b testing', 'performance testing', 'manual testing', 'integration testing system testing']"
 Credit Control - Manager / Asst. Manager,"pivot table,credit analysis,tally erp,accounting,vlookup,finance,lookup,advanced excel,hlookup,credit control",pivot table credit analysis tally erp accounting vlookup finance lookup advanced excel hlookup credit control,"['pivot table slicer timeline', 'pivot table', 'vlookup hlookup', 'advanced pivot table technique', 'lookup function vlookup']"
 Night Shift - Non Voice / Web Chat - BPO,"international bpo,bpo,kpo,web chat,non voice process,e mail,international call center,customer service representative,cse,interpersonal skills,ites,uk shift,customer service,e - commerce,customer care,customer support,bpo fresher",international bpo bpo kpo web chat non voice process e mail international center customer service representative cse interpersonal skill ite uk shift customer service e commerce customer care customer support bpo fresher,"['customer support', 'customer persona development', 'market customer', 'interpersonal skill', 'omnichannel customer experience']"
 Sales Executive,"innovative,aggressive",innovative aggressive,[]
 Design Engineer Mechanical,"communication skills,detail engineering,material handling,autocad,detailing,design engineering,microstation,bid evaluation",communication skill detail engineering material handling autocad detail design engineering microstation bid evaluation,"['attention detail', 'datum engineering', 'network traffic engineering', 'communication skill', 'datum analysis performance evaluation']"
 Android developer,"design,android,erp,software,mvc,quality",design android erp software mvc quality,"['android development', 'oracle erp', 'experiment design', 'software quality assurance engineer', 'software design pattern']"
 Technical Writer,"technical writing,technical documentation,articles,writing skills,product support",technical writing technical documentation article write skill product support,"['technical documentation', 'technical writing', 'technical support engineer', 'write communication', 'process documentation']"
" Pro-Engineer , Matlab ,Ansys","ansys,thermal,matlab,system design,recruitment,mccb,electricals",ansys thermal matlab system design recruitment mccb electrical,"['matlab', 'recommender system', 'electrical engineer']"
 Business Development Executive - Kolkata,"product placement,market research,distributor handling,business development executive,customer service,customer service executive,secondary sales,supervision",product placement market research distributor handling business development executive customer service customer service executive secondary sale supervision,"['market customer', 'customer persona development', 'market research', 'market research analysis', 'market research tool']"
 Accountant - UK Based Accounting,"management accounting,accounting,vat,book keeping,sage,tax returns",management accounting accounting vat book keeping sage tax return,[]
 Opportunity For Current Account RM ||bank || Delhi,"trade,forex trading,forex,fx,lead generation,accounting,banking,revenue generation,current account",trade forex trading forex fx lead generation accounting banking revenue generation current account,"['marketing generation z', 'lead generation technique', 'cryptocurrency trading investment']"
 PHP Developer,"xml,javascript,php,development,css,technical,analytical,software,testing,html,tools,joomla,coding,jquery,web,mysql,wordpress,design,xhtml,debugging,ajax",xml javascript php development css technical analytical software testing html tool joomla code jquery web mysql wordpress design xhtml debugging ajax,"['joomla', 'web development html', 'wordpress', 'code modularity reusability', 'code refactoring']"
 Senior Engineering Maintenance Manager For Knitting and ZLD System,"zld,engineering management,knitting",zld engineering management knit,['datum engineering']
 Accounting Specialist,"analyst,erp,change management,business objects,managed services,business process mapping,executive management,data mining,oracle project accounting,testing",analyst erp change management business object manage service business process mapping executive management datum mining oracle project accounting test,"['business process mapping', 'business analyst', 'datum mining', 'change management', 'oracle erp']"
 Manager (Service Operation),"erp,succession planning,mis,reports,talent management,human resources,hr policies,recruitment,talent acquisition",erp succession planning mis report talent management human resource hr policy recruitment talent acquisition,"['talent management', 'human resource management', 'human resource manager', 'resource planning', 'human resource coordinator']"
 DevOps Engineer Intern,"intern,linux,windows,unix,dns,c++,perl,iis,redhat,http",intern linux window unix dns iis redhat http,"['http', 'unix', 'watch window', 'linux', 'dns security configuration']"
 PHP Developer (wordpress & Woo Commerce/shopify / Magento),"c,woocommerce,magento,wordpress,mysql,php,shopify,jquery,web development,ajax",c woocommerce magento wordpress mysql php shopify jquery web development ajax,"['magento', 'wordpress', 'php', 'mysql']"
 Java Developer,"css,singleton,xml,javascript,jdbc,struts,json,html,spring boot,jquery",css singleton xml javascript jdbc strut json html spring boot jquery,"['json', 'css preprocessor', 'css', 'css', 'json web tokens jwt']"
 Sr. Manager- Business Development,"business development management,bd,marketing,business development,projects,business development manager,bdm,tendering,proposal",business development management bd marketing business development project business development manager bdm tendering proposal,"['cryptocurrency development', 'software development manager', 'marketing strategy development', 'customer persona development', 'project manager']"
 Test Principal Engineer,"ethical hacking,certified ethical hacker,networking protocols,penetration testing,nessus,nmap,fortify,vulnerability assessment,appscan,qualys",ethical hacking certify ethical hacker network protocol penetration testing nessus nmap fortify vulnerability assessment appscan qualy,"['ethical hacker', 'ethical hacking', 'ethical consideration datum science', 'vulnerability assessment', 'network device vulnerability assessment']"
 Graphic Designer,"graphic designing,graphics,adobe creative suite,architecture,ms office,business executive",graphic designing graphic adobe creative suite architecture ms office business executive,"['graphic design', 'adobe xd', 'serverless architecture', 'dmz demilitarize zone architecture', 'adobe target']"
 Business Development Executive,"payment collection,costing,business development executive,lead generation,sales,vendor,cost",payment collection costing business development executive lead generation sale vendor cost,"['datum collection ethic', 'cost control', 'online payment system', 'vendor analysis', 'payment gateway']"
 Animation Resident,"internship,digital marketing,social media,relationship building,animation,creative,indesign,business executive,presentation skills,senior",internship digital marketing social medium relationship building animation creative indesign business executive presentation skill senior,"['social medium influencer marketing', 'presentation skill', 'relationship building', 'social medium management', 'digital marketing']"
Enterprise Business Development Representative,"market penetration,marketing,customer satisfaction,enterprise business,web technologies,business development,strategy,aws,sales",market penetration marketing customer satisfaction enterprise business web technology business development strategy aw sale,"['marketing strategy development', 'aw', 'penetration testing', 'market customer', 'customer satisfaction analysis']"
 Dot Net Developer,"jquery,git,microsoft sql server,net asp net,software,testing,ado.net,microsoft,tools,sql,unit tests,database,application,web,design,.net,object oriented programming,support,programming",jquery git microsoft sql server net asp net software testing microsoft tool sql unit test database application web object orient programming support programming,"['microsoft sql server', 'sql programming', 'object orient programming oop', 'unit testing test automation', 't sql transact sql']"
" Urgent Opening for ""US Staffing Professionals"" - Noida","technical recruitment,us staffing,us recruitment,us recruiter,us it staffing,technical recruiter,it recruiter,recruiter,w2,c2c,talent acquisition,recruitment,staffing,sourcing",technical recruitment staffing recruitment recruiter staff technical recruiter recruiter recruiter talent acquisition recruitment staffing source,"['recruiter', 'recruitment analysis']"
 Front Office Executive-Noida,front office executive,office executive,"['executive reporting', 'executive assistant']"
 Project Executive/coordinator,"project administration,coordination",project administration coordination,"['project management', 'project management', 'system administration', 'database administration', 'network security incident coordination']"
 Sterling OMS Architect,"order management system,sterling commerce,sterling,oms,sterling integrator,ecommerce,e - commerce",order management system sterling commerce sterling oms sterling integrator ecommerce e commerce,"['e commerce marketing strategy', 'big datum e commerce']"
 Dot net Developer,"analytical,documentation,web development,algorithms,development,javascript,sql server,jquery,database,web,flex,design,mysql,net",analytical documentation web development algorithm development javascript sql server jquery database web flex design mysql net,"['web scrape', 'web development html', 'algorithm design analysis', 'cryptocurrency development', 'web app development']"
 Centreless Grinding Operator ,nctvt,nctvt,[]
 PHP Developer Jobs In Gurgaon - Team Lead - PHP,"drupal,application programming,mysql,wordpress,php,cakephp,team leader,mvc,zend,software services",drupal application programming mysql wordpress php cakephp team leader mvc zend software service,"['drupal', 'wordpress', 'php', 'mysql', 'bap advanced business application programming']"
 Sales Lead,"outbound,sales,project management,analytical,sales lead,automation tools,sales process,marketing automation",outbound sale project management analytical sale lead automation tool sale process marketing automation,"['automation', 'devsecop automation', 'marketing automation software', 'project management tool', 'marketing automation workflow']"
 Senior Design Engineer - Manufacturing,"autocad,3d modeling,fmea,mechanical engineering,mechanical design,solidworks",modeling fmea mechanical engineering mechanical design solidwork,"['mechanical drafter', 'dimensional modeling', 'datum modeling']"
 Software Engineer Automation - Industrial Automation Job In Bangalore,automation engineer,automation engineer,"['nuclear engineer', 'automation', 'devsecop automation', 'software engineer', 'technical support engineer']"
 Looking For Assistant Manager - Healthcare (US Visa is Must),"revenue cycle management,us healthcare,payment posting,medical billing,medical coding,us visa,team leading skills,healthcare,denial management,rcm",revenue cycle management healthcare payment posting medical billing medical coding visa team lead skill healthcare denial management rcm,"['healthcare system', 'healthcare analytic', 'healthcare datum analysis', 'healthcare datum analytic', 'medical illustrator']"
 QA for Voice Process (LE-0097-N1C),"voice process,qaqc,writing,process operations,verbal",voice process qaqc writing process operation verbal,"['process', 'verbal communication', 'technical writing', 'process improvement', 'process documentation']"
" Senior Resident - Obs. & Gynae, Max Hospital, Gurgaon","patient care,nursing,people orientation,report generation,service quality,disaster management,customer care,medical,process orientation",patient care nursing people orientation report generation service quality disaster management customer care medical process orientation,"['disaster recovery', 'nursing assistant']"
 Manager/senior Manager- Analytics- Life & Annuities - Insurance Domain,"predictive modeling,sas,data management,data mining,tableau,data analytics,statistics,analytics,sql,python",predictive modeling sas datum management datum mining tableau data analytic statistic analytic sql python,"['datum analytic', 'predictive analytic', 'predictive analytic big datum', 'big datum healthcare predictive analytic', 'data analytic big datum']"
 Executive Medical Coder,"molecular biology,chemistry,biotechnology,bhms,biology,physiotherapy,microbiology,nursing,biomedical,physics,medical coding,biochemistry,pharmacy,ophthalmology,micro biology,bioinformatics,zoology,biotech",molecular biology chemistry biotechnology bhm biology physiotherapy microbiology nursing biomedical physics medical coding biochemistry pharmacy ophthalmology micro biology bioinformatic zoology biotech,[]
 Account Assistant,"accounts executive,accountant,stock management,gst,auditing,statutory compliance,accounting,account assistant,bank reconciliation,tax audit,banking,monthly reports,payroll,salary processing,income tax,income tax return,taxation",account executive accountant stock management gst auditing statutory compliance accounting account assistant bank reconciliation tax audit banking monthly report payroll salary processing income tax income tax return taxation,"['tax accountant', 'tax consultant']"
 Informatica Faculty Job Requirement in Hyderabad,"informatica power center,informatica",informatica power center informatica,"['informatica', 'power query transform', 'power bi', 'power bi', 'microsoft power bi']"
 SEO Expert/ Digital Marketing Gurgaon,"digital marketing,seo specialist,advertising agency,online marketing,seo,seo expert,facebook marketing",digital marketing seo specialist advertising agency online marketing seo seo expert facebook marketing,"['digital marketing specialist', 'omnichannel marketing', 'emotional marketing', 'storytelle marketing', 'gamification marketing']"
 Head Engineering,"validation,installation,breakdown maintenance,industrial safety,gmp,boiler,design,hvac,gensets,air compressor,breakdown,ro,who",validation installation breakdown maintenance industrial safety gmp boiler design hvac genset air compressor breakdown ro,[]
 Business Development Executive,forecasting,forecast,"['forecast', 'forecast', 'datum analysis forecast', 'market analysis forecast']"
 PPC Executive,"pay per click,google adwords,search engine marketing,ppc,sem,google analytics,website analysis,yahoo,web analytics,marketing initiatives",pay click google adword search engine marketing ppc sem google analytic website analysis yahoo web analytic marketing initiative,"['google analytic', 'search engine marketing sem', 'google bigquery', 'google bigquery', 'influencer marketing analytic']"
 Opening For the post of Mr/territory Business Manager in An Pharma,"marketing officer,pharma sales,marketing representative,marketing executive,pharma marketing,sales officer,sales representative,business development executive,fresher,trainee,sales executive",marketing officer pharma sale marketing representative marketing executive pharma marketing sale officer sale representative business development executive fresher trainee sale executive,"['podcast marketing', 'influencer marketing', 'omnichannel marketing', 'emotional marketing', 'storytelle marketing']"
 Deputy Manager - Program Management,"project management,ppap,automotive,external audit,conflict resolution,resource mobilization,pfmea,risk management,project life cycle",project management ppap automotive external audit conflict resolution resource mobilization pfmea risk management project life cycle,"['conflict resolution', 'project management', 'project management', 'conflict management', 'risk management']"
 Public Relations Manager - Bangalore,"pr,public relations,media relations,social media,marketing communication,corporate communication,media relation,corp comm,online media,public relation,journalism,advertising,mass communication",pr public relation medium relation social medium marketing communication corporate communication medium relation corp comm online medium public relation journalism advertising mass communication,"['medium relation', 'public relation pr', 'public relation manager', 'public relation specialist', 'security incident public relation management']"
 Female Fresher's Counsellor- Gurgaon,"counselling,couselling,fresher,student counsellor,student counseling",counselling couselle fresher student counsellor student counseling,[]
 BE Chemical - Fresher,"help desk,customer service,customer relationship,access controls,asset management,vendor management",help desk customer service customer relationship access control asset management vendor management,"['asset management', 'customer relationship management crm', 'relationship management', 'big datum access control management', 'secure network access control']"
 Senior .Net Developer For Leading IT Company in Gurgaon,"asp dot net,.net developer,dot net developer,asp.net,asp . net",asp dot developer dot net developer asp net,['web developer']
 Hiring a Valuation Associate (female Only),"secondary research,valuation,finance,real estate,primary,report preparation,business development,due diligence,financial modelling",secondary research valuation finance real estate primary report preparation business development diligence financial modelling,"['decentralize finance defi', 'datum report']"
 Merchandising & Marketing- Professor,"teaching,educator,counselor,mentor,trainer,advisor",teaching educator counselor mentor trainer advisor,"['nurse educator', 'financial advisor', 'corporate trainer', 'public health educator', 'investment advisor']"
 Medical Transcriber,"x - ray,medical transcription,ultrasound,ct scan",x ray medical transcription ultrasound ct scan,['vulnerability scan solution']
 PHP Developer,"cms,javascript,wordpress,drupal,joomla,ajax,cakephp,zend,knowledge,xhtml",cms javascript wordpress drupal joomla ajax cakephp zend knowledge xhtml,"['joomla', 'drupal', 'wordpress', 'zero knowledge proof', 'business domain knowledge']"
