Unnamed: 0,Job Title,old description,cleaned_description,Job Description
733,Django Developer,"trong application development background using Django/Python framework and strong SQL expertise is desired. • Strong experience with synchronous and asynchronous interfaces and microservice api development is a must. • Strong experience with API Gateways and API management for development and production environment • Strong experience using the Django REST Framework and DRF-JSONAPI • Strong experience with API contract (OAS 3.0), API content (jsonapi.org 1.0), JSON Schema (json-schema.org), API naming, OAuth 2.0 authorization • Knowledgeable about other technologies and able to suggest integration solutions, including third-party APIs. • Hands-on experience with Docker, DevOps, Jira, Jenkins and Git is desirable. • Comfortable with web and application server operation (Apache Tomcat). • Excellent written and verbal communication skills. • Demonstrated ability to work in a fast-paced, deadline driven environment. • Demonstrated excellence in a variety of competencies including teamwork/collaboration, analytical thinking, communication and influencing skills, and technical expertise. • Ability to work weekend and off-hour work on occasion.",trong application development background django python framework strong sql expertise desire strong experience synchronous asynchronous interface microservice api development strong experience api gateways api management development production environment strong experience django rest framework drf jsonapi strong experience api contract oas api content json schema api naming oauth authorization knowledgeable technology able suggest integration solution include party api hand experience docker devops jira jenkins git desirable comfortable web application server operation apache tomcat excellent write verbal communication skill demonstrate ability work fast pace deadline drive environment demonstrate excellence variety competency include teamwork collaboration analytical thinking communication influencing skill technical expertise ability work weekend hour work occasion,"['api management', 'api integration', 'web api development rest', 'api testing', 'api documentation']"
734,Database Administrator,executive office labor workforce development eolwd responsible five agency department organization eolwd agency committed developing world-class highly skilled labor force support business growth innovation commonwealth responsibility strategy & planning create short-term tactical solution achieve long-term objective overall data management roadmap assist assessing determining governance stewardship framework managing data across organization ensure design governance across project application infrastructure establish method procedure tracking data quality completeness redundancy improvement conduct data capacity planning life cycle duration usage requirement feasibility study task develop deliver long-term strategic goal data integration standard conjunction data user department manager client key stakeholder ensure data strategy architecture regulatory compliance operational management develop integration process data flow data mapping analysis address data-related problem regard system integration compatibility multiple-platform integration develop promote data integration methodology standard act advocate data integration management including coaching training career development staff develop implement key component needed create testing criterion order guarantee fidelity performance data architecture identify develop opportunity data reuse migration retirement system assist selection implementation appropriate methodology standard tool software application system support data technology goal oversee mapping data source data movement interface analytics goal ensuring data quality required experience minimum 4 year oracle odi experience 5-8 year overall experience data integration data architecture data modeling implementation minimum 5 year full lifecycle data warehousing experience implementation odi interface scenario extracting loading data variety data sources/targets including relational database management server including oracle rdbms flat file including csv excel & xml file format web service soap ws-i security experience set configuring administration odi according requirement bi knowledge requirement 5 year bi etl perspective design experience detailed etl architecture including agent scenario package data mapping data extraction transformation validation etl design implementation include stand-alone java ee agent odi data service odi console odi studio appropriate development tool ability observe step ascertain success step failure root cause step experience master data management meta data management experience dimensional modeling salary placement determind year experience education directly related position human resource division 's recruiting guideline case promotional opportunity salary provision applicable bargaining agreement utilized placement within salary range qualification first consideration given applicant apply within first 14 day minimum entrance requirement applicant must least four year full-time equivalent part- time professional experience electronic data processing b least two year must work major duty included computer system analysis c equivalent combination required experience substitution substitution associate 's degree major field data processing computer programming may substituted maximum one year required experience ii bachelor 's degree major field data processing computer and/or information science may substituted maximum two year required experience iii graduate degree major field data processing computer and/or information science may substituted maximum two year required experience iv diploma completion two year full-time equivalent part-time program recognized non-degree granting business vocational/technical school high school level major field computer programming may substituted maximum one year required experience v. official transcript recognized business vocational/ technical school evidence completion program consisting least 650 hour instruction field computer programming may substituted maximum one year required experience vi graduation data processing course recognized vocational/technical high school may substituted maximum one year required experience education toward degree diploma prorated basis proportion requirement actually completed note substitution allowed two year required experience note substitution allowed two year required b experience special requirement none,executive office labor workforce development eolwd responsible agency department organization eolwd agency commit develop world class highly skilled labor force support business growth innovation commonwealth responsibility strategy planning create short term tactical solution achieve long term objective overall datum management roadmap assist assess determine governance stewardship framework managing datum organization ensure design governance project application infrastructure establish method procedure track data quality completeness redundancy improvement conduct data capacity plan life cycle duration usage requirement feasibility study task develop deliver long term strategic goal datum integration standard conjunction data user department manager client key stakeholder ensure data strategy architecture regulatory compliance operational management develop integration process datum flow data mapping analysis address data relate problem regard system integration compatibility multiple platform integration develop promote data integration methodology standard act advocate data integration management include coach training career development staff develop implement key component need create testing criterion order guarantee fidelity performance datum architecture identify develop opportunity datum reuse migration retirement system assist selection implementation appropriate methodology standard tool software application system support datum technology goal oversee mapping datum source datum movement interface analytic goal ensure data quality require experience minimum year oracle odi experience year overall experience datum integration datum architecture datum model implementation minimum year lifecycle datum warehousing experience implementation odi interface scenario extract loading datum variety datum source target include relational database management server include oracle rdbms flat file include csv excel xml file format web service soap ws security experience set configure administration odi accord requirement bi knowledge requirement year bi etl perspective design experience detailed etl architecture include agent scenario package datum mapping datum extraction transformation validation etl design implementation include stand java ee agent odi datum service odi console odi studio appropriate development tool ability observe step ascertain success step failure root cause step experience master datum management meta datum management experience dimensional model salary placement determind year experience education directly relate position human resource division recruiting guideline case promotional opportunity salary provision applicable bargaining agreement utilize placement salary range qualification consideration give applicant apply day minimum entrance requirement applicant year time equivalent time professional experience electronic datum process b year work major duty include computer system analysis c equivalent combination require experience substitution substitution associate degree major field datum process computer programming substitute maximum year require experience ii bachelor degree major field datum processing computer information science substitute maximum year require experience iii graduate degree major field datum processing computer information science substitute maximum year require experience iv diploma completion year time equivalent time program recognize non degree grant business vocational technical school high school level major field computer programming substitute maximum year require experience official transcript recognize business technical school evidence completion program consist hour instruction field computer programming substitute maximum year require experience vi graduation datum processing course recognize vocational technical high school substitute maximum year require experience education degree diploma prorate basis proportion requirement actually complete note substitution allow year require experience note substitution allow year require b experience special requirement,"['datum deduplication', 'datum lineage', 'datum sharding', 'datum imputation', 'datum labeling']"
735,Full Stack Developer,software engineer responsible joining product team contributing software design software development overall product lifecycle product user love engineering process highly collaborative software engineer expected pair daily basis work user story support product evolve addition software engineer may involved product configuration performance tuning testing well production monitoring software engineer part team experienced engineer help build grow skill create support deploy production application major task responsibilites key accountability 60 - delivery & execution collaborates pair product team member ux engineering product management create secure reliable scalable software solution document review ensures quality change control standard met work product team ensure user story developer-ready easy understand testable writes custom code script automate infrastructure monitoring service test case writes custom code script `` destructive testing '' ensure adequate resiliency production configures commercial shelf solution align evolving business need creates meaningful dashboard logging alerting response ensure issue captured addressed proactively 20 - support & enablement field question product team support team monitor tool participates conversation encourage collaboration across product team provides application support software running production proactively monitor production service level objective product proactively review performance capacity aspect production code infrastructure data message processing 20 learning participates learning activity around modern software design development core practice community practice proactively view article tutorial video learn new technology best practice used within technology organization review discus code senior engineer understand best practice design pattern increase business acumen learning part business nature scope typically report software engineer manager sr manager environmental job requirement environment located comfortable indoor area unpleasant condition would infrequent objectionable travel typically requires overnight travel le 10 time additional environmental job requirement minimum qualification must eighteen year age older must legally permitted work united state additional minimum qualification experience object oriented programming language preferably java must legally permitted work united state education required knowledge skill ability typically acquired completion high school diploma and/or ged year relevant work experience 0 year physical requirement time spent sitting comfortable position frequent opportunity move rare occasion may need move lift light article additional qualification preferred qualification 0-1 year relevant work experience experience modern scripting language preferably python exposure modern web application framework ruby rail spring mvc node.js exposure front-end technology framework html cs javascript angularjs reactjs jquery exposure writing sql query relational database exposure version control system preferably git knowledge skill ability competency cultivates innovation creating new better way organization successful collaborates building partnership working collaboratively others meet shared objective communicates effectively developing delivering multi-mode communication convey clear understanding unique need different audience drive result consistently achieving result even tough circumstance global perspective taking broad view approaching issue ; using global lens interpersonal savvy relating openly comfortably diverse group people manages ambiguity operating effectively even thing certain way forward clear nimble learning actively learning experimentation tackling new problem using success failure learning fodder self-development actively seeking new way grow challenged using formal informal development channel situational adaptability adapting approach demeanor real time match shifting demand different situation,software engineer responsible join product team contribute software design software development overall product lifecycle product user love engineering process highly collaborative software engineer expect pair daily basis work user story support product evolve addition software engineer involve product configuration performance tune test production monitoring software engineer team experience engineer help build grow skill create support deploy production application major task responsibilite key accountability delivery execution collaborate pair product team member ux engineering product management create secure reliable scalable software solution document review ensure quality change control standard meet work product team ensure user story developer ready easy understand testable write custom code script automate infrastructure monitoring service test case write custom code script destructive testing ensure adequate resiliency production configure commercial shelf solution align evolve business need create meaningful dashboard log alert response ensure issue capture address proactively support enablement field question product team support team monitor tool participate conversation encourage collaboration product team provide application support software run production proactively monitor production service level objective product proactively review performance capacity aspect production code infrastructure datum message process learning participate learn activity modern software design development core practice community practice proactively view article tutorial video learn new technology good practice technology organization review discus code senior engineer understand good practice design pattern increase business acuman learn business nature scope typically report software engineer manager sr manager environmental job requirement environment locate comfortable indoor area unpleasant condition infrequent objectionable travel typically require overnight travel le time additional environmental job requirement minimum qualification eighteen year age old legally permit work united state additional minimum qualification experience object orient programming language preferably java legally permit work united state education require knowledge skill ability typically acquire completion high school diploma ge year relevant work experience year physical requirement time spend sit comfortable position frequent opportunity rare occasion need lift light article additional qualification prefer qualification year relevant work experience experience modern scripting language preferably python exposure modern web application framework ruby rail spring mvc exposure end technology framework html cs javascript angularjs reactj jquery exposure write sql query relational database exposure version control system preferably git knowledge skill ability competency cultivate innovation create new well way organization successful collaborate build partnership work collaboratively meet share objective communicate effectively develop deliver multi mode communication convey clear understanding unique need different audience drive result consistently achieve result tough circumstance global perspective take broad view approach issue global lens interpersonal savvy relate openly comfortably diverse group people manage ambiguity operate effectively thing certain way forward clear nimble learning actively learn experimentation tackle new problem success failure learn fodder self development actively seek new way grow challenge formal informal development channel situational adaptability adapt approach demeanor real time match shift demand different situation,['software engineer']
736,Flutter Developer,"Flutter Developer Job Duties: *
· Ability to understand business requirements and translate them into technical requirements

· Good knowledge of object oriented programming and design patterns.

· Create multi-platform apps for iOS and Android using Google's Flutter development framework.

· Knowledge of Swift and Kotlin for platform-specific code when required by widgets.

· Should have 1-2 years of good expertise in developing hybrid mobile application with at least 1-2 years of experience in Flutter framework

· Experience of handling location services, notifications, video recording, rest APIs, 3rd party integrations in flutter

· Experience in handling user friendly UI based on requirements in flutter

· Experience using Web Services, REST API's and Data parsing using XML, JSON

· Solid understanding of the full mobile development life cycle.

· Strong knowledge of UI design principles, patterns, and best practices.

· Knowledge of the open-source ecosystem and the libraries available for common tasks

· Troubleshoot and debug to optimize performance of the App
Skills Required : *Flutter, Java, Kotlin, Swift, Objective C
Job requirements: *
· Have hands- on UI Development

· Experience working with RESTful APIs, third party SDK Integrations and common technologies like HTTPS, XML, JSON, OAuth, Flutter, Java, Kotlin, Swift, Objective C and SQL.
Should have at 1+ years of professional experience

Job Types: Full-time, Walk-In

Salary: ₹10,480.00 - ₹20,000.00 per month

Experience:
software development: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
No",flutter developer job duties ability understand business requirement translate technical requirement good knowledge object orient programming design pattern create multi platform app ios android google flutter development framework knowledge swift kotlin platform specific code require widget year good expertise develop hybrid mobile application year experience flutter framework experience handle location service notification video recording rest api party integration flutter experience handle user friendly ui base requirement flutter experience web services rest api data parse xml json solid understanding mobile development life cycle strong knowledge ui design principle pattern good practice knowledge open source ecosystem library available common task troubleshoot debug optimize performance app skills required flutter java kotlin swift objective c job requirement ui development experience work restful api party sdk integrations common technology like https xml json oauth flutter java kotlin swift objective c sql year professional experience job types time walk salary month experience software development year preferred work year preferred total work year preferred education bachelor preferred work remotely,"['flutter', 'cross platform app development flutter', 'kotlin', 'swift']"
737,Java Developer,"1.Should have strong analytical skills.
2. Hands-on technology
3. Technical Skills sets-Must to have experience on: CoreJava, Spring, Springboot, Spring MVC, Microservices, Hibernate, Design Patterns, MySQLNotice period: immediate joinees to 45 days.
Role: Software Engineer/Sr. Software Engineer
Experience: 4-9 Years
Job Responsibilities: * Contributing in all phases of the development lifecycle * Writing well designed, testable, cient code * Review, test and debug code * Understand and follow standards, guidelines, and best practices adopted in the project * Participating in Agile-Scrum development * Should have good communication skills * Maintaining timesheet on Tick on a daily basis
Technical Responsibilities:
 Hands-on experience in Core Java
 Developing API - Spring boot, Spring Cloud, Spring MVC
 Creating UNIT test cases - JUnit, Mockito Performing load testing
 Must be involved in the development of RESTful web service implementations
 Writing simple and complex PROC SQL queries in MySQL
 Experience in Angular will be a plus
 Applying Design patterns to solve problems Knowledge on Memory leakage issues and how to solve them.Version Control - Git
Job Types: Full-time, Walk-In
Pay: From ₹800,000.00 per year
Schedule:
Monday to Friday
Experience:
software development: 1 year (Preferred)
total work: 1 year (Preferred)
JSP: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Licence:
Java SE 7 Programmer (Preferred)",strong analytical skill hand technology technical skills set experience corejava spring springboot spring mvc microservices hibernate design patterns mysqlnotice period immediate joinee day role software engineer sr software engineer experience year job responsibilities contribute phase development lifecycle write design testable cient code review test debug code understand follow standard guideline good practice adopt project participate agile scrum development good communication skill maintain timesheet tick daily basis technical responsibilities hand experience core java develop api spring boot spring cloud spring mvc create unit test case junit perform load testing involve development restful web service implementation write simple complex proc sql query mysql experience angular plus apply design pattern solve knowledge memory leakage issue solve version control git job types time walk pay year schedule monday friday experience software development year preferred total work year preferred jsp year preferred education bachelor preferred licence java se programmer preferred,[]
738,JavaScript Developer,"Required Experience

0 to 2 years

Qualification

B.E. / M.E. / B.Tech / M.Tech / MCA

Key Skills

Angular JS, Node JS, React JS, jQuery, ES6.

Work Location

Ahmedabad
Job Description :
Candidate will get the opportunity to be involved in interface design, improving user experience, build SPA and more.
Will be responsible for Design, build and configure applications to meet business process and application requirements.
Will be working Angular JS, Node JS, React JS, jQuery, ES6.
Responsible for working with cross platform hybrid mobile applications in Ionic / React Native.
Must be a good team member and should be able to quickly adapt to changing requirements, scope and priorities.",required experience year qualification mca key skills angular js node js react js jquery work location ahmedabad job description candidate opportunity involve interface design improve user experience build spa responsible design build configure application meet business process application requirement work angular js node js react js jquery responsible work cross platform hybrid mobile application ionic react native good team member able quickly adapt change requirement scope priority,"['react', 'react native', 'react native']"
739,Node js developer,"We have an urgent opening for Node.js Developers and PHP Developer having 2 to 5 years of experience for our company for Surat location. If interested, please contact me.

Name : www.24task.com
Location : Mota varachha, Surat.

NOTE : NO FREELANCING OR WORK FROM HOME.

Contract length: 12 months

Job Types: Full-time, Temporary, Contract

Salary: ₹11,005.00 - ₹39,013.00 per month

Experience:
software development: 1 year (Preferred)
work: 2 years (Preferred)
total work: 2 years (Preferred)
Education:
Bachelor's (Preferred)",urgent opening developers php developer have year experience company surat location interested contact location mota varachha surat note freelancing work home contract length month job types time temporary contract salary month experience software development year preferred work year preferred total work year preferred education bachelor preferred,[]
740,Node js developer,"Job Description

We are looking for a Node.js Developer responsible for managing the interchange of data between the server and the users. Your primary focus will be the development of all server-side logic, definition and maintenance of the central database, and ensuring high performance and responsiveness to requests from the front-end. You will also be responsible for integrating the front-end elements built by your co-workers into the application. Therefore, a basic understanding of front-end technologies is necessary as well.
Responsibilities
Integration of user-facing elements developed by front-end developers with server side logic
Writing reusable, testable, and efficient code
Design and implementation of low-latency, high-availability, and performant applications
Implementation of security and data protection
Integration of data storage solutions {{may include databases, key-value stores, blob stores, etc.}}
{{Add other responsibilities here that are relevant}}
Skills And Qualifications
Strong proficiency with JavaScript {{or CoffeeScript depending on your technology stack}}
Knowledge of Node.js and frameworks available for it {{such as Express, StrongLoop, etc depending on your technology stack}}
Understanding the nature of asynchronous programming and its quirks and workarounds
Good understanding of server-side templating languages {{such as Jade, EJS, etc depending on your technology stack}}
Good understanding of server-side CSS preprocessors {{such as Stylus, Less, etc depending on your technology stack}}
Basic understanding of front-end technologies, such as HTML5, and CSS3
Understanding accessibility and security compliance {{Depending on the specific project}}
User authentication and authorization between multiple systems, servers, and environments
Integration of multiple data sources and databases into one system
Understanding fundamental design principles behind a scalable application
Understanding differences between multiple delivery platforms, such as mobile vs. desktop, and optimizing output to match the specific platform
Creating database schemas that represent and support business processes
Implementing automated testing platforms and unit tests
Proficient understanding of code versioning tools, such as Git
{{Make sure to mention other frameworks, libraries, or any other technology related to your development stack}}
Contract length: 12 months

Job Types: Full-time, Contract

Salary: ₹15,000.00 - ₹60,000.00 per month

Experience:
software development: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
No",job description look developer responsible manage interchange datum server user primary focus development server logic definition maintenance central database ensure high performance responsiveness request end responsible integrate end element build co worker application basic understanding end technology necessary responsibility integration user face element develop end developer server logic write reusable testable efficient code design implementation low latency high availability performant application implementation security datum protection integration data storage solution include database key value store blob store etc add responsibility relevant skills qualifications strong proficiency javascript coffeescript depend technology stack knowledge framework available express strongloop etc depend technology stack understand nature asynchronous programming quirk workaround good understanding server templating language jade ejs etc depend technology stack good understanding server css preprocessor stylus etc depend technology stack basic understanding end technology understand accessibility security compliance depend specific project user authentication authorization multiple system server environment integration multiple datum source database system understand fundamental design principle scalable application understand difference multiple delivery platform mobile desktop optimize output match specific platform create database schema represent support business process implement automated testing platform unit test proficient understanding code versioning tool git sure mention framework library technology relate development stack contract length month job types time contract salary month experience software development year preferred work year preferred total work year preferred education bachelor preferred work remotely,['stack development']
741,Flutter Developer,"Job Title: FLUTTER Developer
Experience: 1 to 4 Years - 2 Numbers
Location: Coimbatore-641012
Notice Period: Immediate or 15 days
Responsibilities and Duties:
The specific role is an exciting opportunity to work on a high-profile application but also offers the opportunity to work on other web and mobile projects.
Responsibilities and Duties:
Experience in FLUTTER or REACT NATIVE
Strong vanilla JavaScript skills, including ES6+ (both Node.js & browser-based apps)
Experience building applications and APIs from scratch with Express.js on Node
Database experience (mysql or any no sql)
Experience using types in JS (TypeScript)
Source control - Git/GitHub
Required Experience and Qualifications:
1-4 years of experience in FLUTTER, PHP, ANGULAR, nodejs, mysql, firebase, AWS(good to have)
Job Type: Full-time
Salary: ₹200,000.00 - ₹800,000.00 per year
Schedule:
Day shift
Morning shift
Experience:
FLUTTER: 1 year (Preferred)
ANGULAR: 1 year (Preferred)
firebase, AWS: 1 year (Preferred)
Education:
Bachelor's (Preferred)",job title flutter developer experience year numbers location notice period immediate day responsibility duty specific role exciting opportunity work high profile application offer opportunity work web mobile project responsibility duty experience flutter react native strong vanilla javascript skill include browser base app experience building application api scratch node database experience mysql sql experience type js typescript source control git github required experience qualifications year experience flutter php angular nodejs mysql firebase job type time salary year schedule day shift morning shift experience flutter year preferred angular year preferred firebase aws year preferred education bachelor preferred,"['flutter', 'cross platform app development flutter']"
742,PHP Developer,"""Codes open new vistas.""

The PHP Developer is responsible for the creation and implementation of a wide variety of Web-based products using PHP, JavaScript, MySQL and AJAX.

Role and Responsibilities:
Proficient in executing and self-managing the project in an agile environment.
Develop, record and maintain cutting edge web-based PHP applications.
Convey effectively with all task progress, evaluations, suggestions, schedules along with Technical and process issues.
Working experience on any php MVC Framework. Experience on Laravel framework is preferred.
Experience in using any enterprise source control system like SVN, GIT etc.
Experience in JSON, RESTful APIs.
Experience with payment gateways
Experience working along with mobile development team as an API developer
Required Skills:
Candidates must be adaptive to meet the priorities when demanded, and should be able to think outside of the box, pragmatic, able to voice and effectively communicate opinions, great listeners and detail oriented.",code open new vista php developer responsible creation implementation wide variety web base product php javascript mysql ajax role responsibility proficient executing self manage project agile environment develop record maintain cut edge web base php application convey effectively task progress evaluation suggestion schedule technical process issue working experience php mvc framework experience laravel framework prefer experience enterprise source control system like svn git etc experience json restful api experience payment gateway experience work mobile development team api developer required skill candidate adaptive meet priority demand able think outside box pragmatic able voice effectively communicate opinion great listener detail orient,['php']
743,DevOps Engineer,"Job Description:


Job Title DevOps Lead

Location India

Corporate Title Assistant Vice President

Overview

As DevOps Lead in RFT, you will be working as a part of DevOps transformation team that work to implement DevOps strategy and drive the DevOps transformation across RFT domain. In this role, you will work in partnership with the Agile, Testing and Release Management functions to proactively engage test teams to make sure that deliveries are aligned with overall transformation objectives. You will be required to help the subdomains identify, assess, manage the DevOps health needs including any bespoke solution to improve the KPIs.

What we’ll offer you

A healthy, engaged and well-supported workforce are better equipped to do their best work and, more importantly, enjoy their lives inside and outside the workplace. That’s why we are committed to providing an environment with your development and wellbeing at its center.

You can expect:
Competitive salary and non-contributory pension
30 days’ holiday plus bank holidays, with the option to purchase additional days
Life Assurance and Private Healthcare for you and your family
The opportunity to support a wide ranging CSR (Corporate service responsibility) programme.
Your key responsibilities
Working with other engineers to support our adoption of continuous delivery, automating the building, packaging, testing and deployment of applications
Creating the tools required to deploy and manage applications effectively in Test Environments, with minimal manual effort
Helping teams to adopt modern delivery practices, such as extensive use of automated testing, continuous integration and more frequent releases.
Configuring and managing code repositories, continuous builds, artefact repositories, cloud platforms and other tools
Contributing towards a culture of learning and continuous improvement within your team and beyond
Sharing skills and knowledge in a wide range of topics relating to Devops and software delivery
Your skills and experience
Experience creating and maintaining automated builds, using tools such as Team City, Jenkins, etc.
Hands on experience of scripting languages, such as bash, ruby or python. Some experience with general-purpose programming languages – preferably Java
Knowledge and experience on configuration management tools such as Ansible, puppet.
Good understanding of version control systems, branching, merging, etc. Practical experience using Git
Using repositories such as Nexus and Artifactory to manage and distribute binary artifacts
An understanding of automated testing, using tools such as Junit, Cucumber, Selenium etc.
An understanding of operating systems, platforms and infrastructure. Including Unix and Windows, Docker, PaaS and IaaS technologies such as Open Shift.
Ability to manage multiple stakeholders and work with both technical and non- technical individuals on a daily basis testing and development lifecycles
How we’ll support you
Training and development to help you excel in your career
Flexible working to assist you balance your personal priorities
Coaching and support from experts
A culture of continuous learning to aid progression
A range of flexible benefits that you can tailor to suit your needs
About us and our teams
Please visit our company website for further information:
https://www.db.com/company/company.htm
Our values define the working environment we strive to create – diverse, supportive and welcoming of different views. We embrace a culture reflecting a variety of perspectives, insights and backgrounds to drive innovation. We build talented and diverse teams to drive business results and encourage our people to develop to their full potential. Talk to us about flexible work arrangements and other initiatives we offer.

We promote good working relationships and encourage high standards of conduct and work performance. We welcome applications from talented people from all cultures, countries, races, genders, sexual orientations, disabilities, beliefs and generations and are committed to providing a working environment free from harassment, discrimination and retaliation.

Click here to find out more about our diversity and inclusion policy and initiatives.",job description job title devops lead location india corporate title assistant vice president overview devops lead rft work devops transformation team work implement devops strategy drive devops transformation rft domain role work partnership agile testing release management function proactively engage test team sure delivery align overall transformation objective require help subdomain identify assess manage devops health need include bespoke solution improve kpi offer healthy engaged support workforce well equip good work importantly enjoy life inside outside workplace committed provide environment development wellbee center expect competitive salary non contributory pension day holiday plus bank holiday option purchase additional day life assurance private healthcare family opportunity support wide ranging csr corporate service responsibility programme key responsibility work engineer support adoption continuous delivery automate building packaging testing deployment application create tool require deploy manage application effectively test environments minimal manual effort help team adopt modern delivery practice extensive use automate testing continuous integration frequent release configuring manage code repository continuous build artefact repository cloud platform tool contribute culture learning continuous improvement team sharing skill knowledge wide range topic relate devops software delivery skill experience experience create maintain automate build tool team city jenkins etc hand experience scripting language bash ruby python experience general purpose programming language preferably java knowledge experience configuration management tool ansible puppet good understanding version control system branch merging etc practical experience git repository nexus artifactory manage distribute binary artifact understanding automate testing tool junit cucumber selenium etc understanding operating system platform infrastructure include unix windows docker paas iaas technology open shift ability manage multiple stakeholder work technical technical individual daily basis testing development lifecycle support training development help excel career flexible work assist balance personal priority coaching support expert culture continuous learning aid progression range flexible benefit tailor suit need team visit company website information value define work environment strive create diverse supportive welcoming different view embrace culture reflect variety perspective insight background drive innovation build talented diverse team drive business result encourage people develop potential talk flexible work arrangement initiative offer promote good work relationship encourage high standard conduct work performance welcome application talented people culture country race gender sexual orientation disability belief generation commit provide work environment free harassment discrimination retaliation click find diversity inclusion policy initiative,[]
744,DevOps Engineer,"We are looking for someone who could help us creating and maintaining the development platforms and processes that enable automation of builds and releases as the engineering organization grows.

You will be collaborating with development, infrastructure, and QA teams to drive productivity, repeatability and quality improvements for our products.

Thence, we are excited to welcome dynamic robust engineers like you whose have :

3-4 years of systems administration and configuration experience with 2 years of experience focused on cloud-hosted commercial facing environments

Cloud deployment automation experience

Experience with log consolidation, reporting, and alerting frameworks such as ELK

Experience automating the configuration of and administration of load balancers, DNS, firewalls, and cloud based networks

Detailed knowledge of cloud infrastructure management

Familiarity with Unix (FreeBSD/Linux) operating systems, tools, and utilities

Containerization and Cloud (Docker, Kubernetes, Amazon Web Services)

Familiarity with migration of services and server to the cloud and containers

Ability to design and configure virtual network topologies, especially in Amazon Web Services (AWS)

Experience designing configuration management systems using tools such as Chef, Ansible, Puppet, Salt & Jenkins

Ability to provision, monitor, optimize and scale AWS infrastructure using APIs

Strong coding capability in one or more languages, especially bash and Python

Experience with automation and workflow management

Experience with Docker highly preferred

Experience with application load balancing solutions for scaling and HA

Linux administration experience

Well versed in internet architectures, including web, application, and database components such as Apache, Nginx, memcache, MySQL, etc.

Deep understanding of firewalls, NAT and packet filtering (specifically Iptables)

General Networking skills os a BIG plus (Layer 2 & 3 switches, TCP/IP, SNMP, etc.)",look help create maintain development platform process enable automation build release engineering organization grow collaborate development infrastructure qa team drive productivity repeatability quality improvement product excited welcome dynamic robust engineer like year system administration configuration experience year experience focus cloud host commercial face environment cloud deployment automation experience experience log consolidation reporting alert framework elk experience automate configuration administration load balancer dns firewall cloud base network detailed knowledge cloud infrastructure management familiarity unix freebsd linux operating system tool utility containerization cloud docker kubernetes amazon web services familiarity migration service server cloud container ability design configure virtual network topology especially amazon web services aws experience design configuration management system tool chef ansible puppet salt jenkins ability provision monitor optimize scale aws infrastructure api strong code capability language especially bash python experience automation workflow management experience docker highly prefer experience application load balance solution scaling ha linux administration experience verse internet architecture include web application database component apache nginx memcache mysql etc deep understanding firewall nat packet filtering specifically iptables general networking skill os big plus layer switch tcp ip snmp etc,"['cloud automation', 'network configuration automation', 'application layer firewall configuration', 'firewall configuration', 'load balance configuration']"
